,time,nationNm,nationNmEn,natDefCnt,natDeathCnt,natDeathRate
528,20210227T09:00:00Z,에티오피아,Ethiopia,156112,2321,1.4867531003
529,20210227T09:00:00Z,가봉,Gabon,14234,80,0.5620345651
530,20210227T09:00:00Z,가나,Ghana,81673,588,0.7199441675
531,20210227T09:00:00Z,기니,Guinea,15680,88,0.5612244897
532,20210227T09:00:00Z,케냐,Kenya,105057,1847,1.7580932255
533,20210227T09:00:00Z,나미비아,Namibia,38206,416,1.0888342145
534,20210227T09:00:00Z,중앙아프리카공화국,Central African Republic,4997,63,1.2607564538
535,20210227T09:00:00Z,콩고,Congo,8820,128,1.4512471655
536,20210227T09:00:00Z,적도기니,Equatorial Guinea,5957,91,1.5276145710
537,20210227T09:00:00Z,에스와티니,Swatini,16946,650,3.8357134427
538,20210227T09:00:00Z,모리타니아,Mauritania,17179,439,2.5554456021
539,20210227T09:00:00Z,르완다,Rwanda,18553,258,1.3906106829
540,20210227T09:00:00Z,세이쉘,Seychelles,2562,11,0.4293520686
541,20210227T09:00:00Z,베냉,Benin,5634,70,1.2424565140
542,20210227T09:00:00Z,라이베리아,Liberia,2009,85,4.2309606769
543,20210227T09:00:00Z,탄자니아,Tanzania,509,21,4.1257367387
544,20210227T09:00:00Z,지부티,Djibouti,6060,63,1.0396039603
545,20210227T09:00:00Z,감비아,Gambia,4671,147,3.1470777135
546,20210227T09:00:00Z,잠비아,Zambia,77171,1059,1.3722771507
547,20210227T09:00:00Z,모리셔스,Mauritius,610,10,1.6393442622
548,20210227T09:00:00Z,차드,Chad,3934,137,3.4824605998
549,20210227T09:00:00Z,니제르,Niger,4740,172,3.6286919831
550,20210227T09:00:00Z,카보베르데,Cape Verde,15201,145,0.9538846128
551,20210227T09:00:00Z,짐바브웨,Zimbabwe,35994,1458,4.0506751125
552,20210227T09:00:00Z,소말리아,Somalia,6687,223,3.3348287722
553,20210227T09:00:00Z,마다가스카르,Madagascar,19831,297,1.4976551863
554,20210227T09:00:00Z,앙골라,Angola,20695,502,2.4257066924
555,20210227T09:00:00Z,에리트레아,Eritrea,2826,7,0.2476999292
556,20210227T09:00:00Z,우간다,Uganda,40300,334,0.8287841191
557,20210227T09:00:00Z,모잠비크,Mozambique,57597,613,1.0642915429
558,20210227T09:00:00Z,기니비사우,Guinea Bissau,3215,48,1.4930015552
559,20210227T09:00:00Z,말리,Mali,8349,349,4.1801413342
560,20210227T09:00:00Z,보츠와나,Botswana,28370,310,1.0927035600
561,20210227T09:00:00Z,브룬디,Brundi,2143,3,0.1399906672
562,20210227T09:00:00Z,시에라리온,Sierra Leone,3884,79,2.0339855818
563,20210227T09:00:00Z,말라위,Malawi,31502,1033,3.2791568789
564,20210227T09:00:00Z,남수단,South Sudan,7349,87,1.1838345353
565,20210227T09:00:00Z,상투메프린시페,Sao Tome and Principe,1719,27,1.5706806282
566,20210227T09:00:00Z,코모로,Comoros,3552,144,4.0540540540
567,20210227T09:00:00Z,레소토,Lesotho,10468,292,2.7894535727
568,20210227T09:00:00Z,기타지역 영토,Others,424092,5351,1.2617545249
