,time,Confirmed,Deaths,Recovered,Tested,Testing,Negative,tConfirmed,tDeaths,tRecovered,tTesting
115,20200527T00:00:00Z,11265,269,10295,852876,21061,820550,40,0,20,-983
116,20200528T00:00:00Z,11344,269,10340,868666,22370,834952,79,0,45,1309
117,20200529T00:00:00Z,11402,269,10363,885120,24557,849161,58,0,23,2187
118,20200530T00:00:00Z,11441,269,10398,902901,26298,865162,39,0,35,1741
119,20200531T00:00:00Z,11468,270,10405,910822,23294,876060,27,1,7,-3004
120,20200601T00:00:00Z,11503,271,10422,921391,24058,885830,35,1,17,764
121,20200602T00:00:00Z,11541,272,10446,939851,28922,899388,38,1,24,4864
122,20200603T00:00:00Z,11590,273,10467,956852,27865,917397,49,1,21,-1057
123,20200604T00:00:00Z,11629,273,10499,973858,28199,934030,39,0,32,334
124,20200605T00:00:00Z,11668,273,10506,990960,28766,950526,39,0,7,567
125,20200606T00:00:00Z,11719,273,10531,1005305,27954,965632,51,0,25,-812
126,20200607T00:00:00Z,11776,273,10552,1012769,26481,974512,57,0,21,-1473
127,20200608T00:00:00Z,11814,273,10563,1018213,24374,982026,38,0,11,-2107
128,20200609T00:00:00Z,11852,274,10589,1035996,27459,996686,38,1,26,3085
129,20200610T00:00:00Z,11902,276,10611,1051971,26223,1013847,50,2,22,-1236
130,20200611T00:00:00Z,11947,276,10654,1066887,25494,1029447,45,0,43,-729
131,20200612T00:00:00Z,12003,277,10669,1081486,24244,1045240,56,1,15,-1250
132,20200613T00:00:00Z,12051,277,10691,1094703,23352,1059301,48,0,22,-892
133,20200614T00:00:00Z,12085,277,10718,1100327,21356,1066887,34,0,27,-1996
134,20200615T00:00:00Z,12121,277,10730,1105719,20793,1072805,36,0,12,-563
135,20200616T00:00:00Z,12155,278,10760,1119767,22632,1084980,34,1,30,1839
136,20200617T00:00:00Z,12198,279,10774,1132823,21489,1099136,43,1,14,-1143
137,20200618T00:00:00Z,12257,280,10800,1145712,21714,1111741,59,1,26,225
138,20200619T00:00:00Z,12306,280,10835,1158063,21190,1124567,49,0,35,-524
139,20200620T00:00:00Z,12373,280,10856,1170901,21470,1137058,67,0,21,280
140,20200621T00:00:00Z,12421,280,10868,1176463,20071,1143971,48,0,12,-1399
141,20200622T00:00:00Z,12438,280,10881,1182066,19403,1150225,17,0,13,-668
142,20200623T00:00:00Z,12484,281,10908,1196012,22278,1161250,46,1,27,2875
143,20200624T00:00:00Z,12535,281,10930,1208597,20245,1175817,51,0,22,-2033
144,20200625T00:00:00Z,12563,282,10974,1220478,18900,1189015,28,1,44,-1345
145,20200626T00:00:00Z,12602,282,11172,1232315,18828,1200885,39,0,198,-72
146,20200627T00:00:00Z,12653,282,11317,1243780,19866,1211261,51,0,145,1038
147,20200628T00:00:00Z,12715,282,11364,1251695,19005,1219975,62,0,47,-861
148,20200629T00:00:00Z,12757,282,11429,1259954,18499,1228698,42,0,65,-506
