time,City,Confirmed,Death,Recovered,Incidence
209,20200315T00:00:00Z,충북,31,0,6,1.94
210,20200315T00:00:00Z,충남,115,0,10,5.42
211,20200315T00:00:00Z,전북,7,0,4,0.39
212,20200315T00:00:00Z,전남,4,0,2,0.21
213,20200315T00:00:00Z,경북,1157,17,163,43.46
214,20200315T00:00:00Z,경남,85,0,16,2.53
215,20200315T00:00:00Z,제주,4,0,1,0.60
216,20200316T00:00:00Z,합계,8236,75,1137,15.74
217,20200316T00:00:00Z,서울,253,0,52,2.60
218,20200316T00:00:00Z,부산,107,1,53,3.14
219,20200316T00:00:00Z,대구,6066,53,734,248.96
220,20200316T00:00:00Z,인천,30,0,4,1.01
221,20200316T00:00:00Z,광주,16,0,4,1.10
222,20200316T00:00:00Z,대전,22,0,4,1.49
223,20200316T00:00:00Z,울산,28,0,7,2.44
224,20200316T00:00:00Z,세종,40,0,0,11.68
225,20200316T00:00:00Z,경기,231,3,48,1.74
226,20200316T00:00:00Z,강원,29,1,7,1.88
227,20200316T00:00:00Z,충북,31,0,6,1.94
228,20200316T00:00:00Z,충남,115,0,12,5.42
229,20200316T00:00:00Z,전북,7,0,4,0.39
230,20200316T00:00:00Z,전남,4,0,2,0.21
231,20200316T00:00:00Z,경북,1164,17,178,43.72
232,20200316T00:00:00Z,경남,85,0,20,2.53
233,20200316T00:00:00Z,제주,4,0,2,0.60
234,20200316T00:00:00Z,검역,4,0,0,-
235,20200317T00:00:00Z,합계,8320,81,1401,16.05
236,20200317T00:00:00Z,서울,265,0,55,2.72
237,20200317T00:00:00Z,부산,107,1,54,3.14
238,20200317T00:00:00Z,대구,6098,57,947,250.28
239,20200317T00:00:00Z,인천,31,0,5,1.05
240,20200317T00:00:00Z,광주,16,0,6,1.1
241,20200317T00:00:00Z,대전,22,0,4,1.49
242,20200317T00:00:00Z,울산,28,0,8,2.44
243,20200317T00:00:00Z,세종,40,0,0,11.68
244,20200317T00:00:00Z,경기,262,3,55,1.98
245,20200317T00:00:00Z,강원,29,1,8,1.88
246,20200317T00:00:00Z,충북,31,0,5,1.94
247,20200317T00:00:00Z,충남,115,0,15,5.42
248,20200317T00:00:00Z,전북,7,0,4,0.39
249,20200317T00:00:00Z,전남,4,0,2,0.21
250,20200317T00:00:00Z,경북,1169,19,209,43.91
251,20200317T00:00:00Z,경남,86,0,22,2.56
252,20200317T00:00:00Z,제주,4,0,2,0.6
253,20200317T00:00:00Z,검역,6,0,0,-
254,20200318T00:00:00Z,합계,8413,84,1540,16.23
255,20200318T00:00:00Z,서울,270,0,55,2.77
256,20200318T00:00:00Z,부산,107,1,58,3.14
257,20200318T00:00:00Z,대구,6144,58,1048,252.17
258,20200318T00:00:00Z,인천,32,0,5,1.08
259,20200318T00:00:00Z,광주,17,0,6,1.17
260,20200318T00:00:00Z,대전,22,0,4,1.49
261,20200318T00:00:00Z,울산,30,0,9,2.62
262,20200318T00:00:00Z,세종,41,0,0,11.98
263,20200318T00:00:00Z,경기,277,3,59,2.09
264,20200318T00:00:00Z,강원,30,1,8,1.95
265,20200318T00:00:00Z,충북,32,0,5,2.00
266,20200318T00:00:00Z,충남,118,0,16,5.56
267,20200318T00:00:00Z,전북,9,0,5,0.50
268,20200318T00:00:00Z,전남,5,0,2,0.27
269,20200318T00:00:00Z,경북,1178,21,235,44.24
270,20200318T00:00:00Z,경남,86,0,23,2.56
