time,gubun,confCase,confCaseRate,death,deathRate,criticalRate
903,20200702T14:00:00Z,여성,7349,56.95,131,46.45,1.78
904,20200702T14:00:00Z,80 이상,558,4.32,139,49.29,24.91
905,20200702T14:00:00Z,70-79,864,6.7,82,29.08,9.49
906,20200702T14:00:00Z,60-69,1686,13.07,41,14.54,2.43
907,20200702T14:00:00Z,50-59,2316,17.95,15,5.32,0.65
908,20200702T14:00:00Z,40-49,1685,13.06,3,1.06,0.18
909,20200702T14:00:00Z,30-39,1515,11.74,2,0.71,0.13
910,20200702T14:00:00Z,20-29,3374,26.15,0,0.00,0
911,20200702T14:00:00Z,10-19,712,5.52,0,0.00,0
912,20200702T14:00:00Z,0-9,194,1.5,0,0.00,0
913,20200703T11:00:00Z,남성,5587,43.09,151,53.55,2.7
914,20200703T11:00:00Z,여성,7380,56.91,131,46.45,1.78
915,20200703T11:00:00Z,80 이상,561,4.33,139,49.29,24.78
916,20200703T11:00:00Z,70-79,868,6.69,82,29.08,9.45
917,20200703T11:00:00Z,60-69,1697,13.09,41,14.54,2.42
918,20200703T11:00:00Z,50-59,2323,17.91,15,5.32,0.65
919,20200703T11:00:00Z,40-49,1691,13.04,3,1.06,0.18
920,20200703T11:00:00Z,30-39,1525,11.76,2,0.71,0.13
921,20200703T11:00:00Z,20-29,3384,26.1,0,0.00,0
922,20200703T11:00:00Z,10-19,722,5.57,0,0.00,0
923,20200703T11:00:00Z,0-9,196,1.51,0,0.00,0
924,20200704T10:00:00Z,남성,5625,43.17,151,53.36,2.68
925,20200704T10:00:00Z,여성,7405,56.83,132,46.64,1.78
926,20200704T10:00:00Z,80 이상,564,4.33,140,49.47,24.82
927,20200704T10:00:00Z,70-79,870,6.68,82,28.98,9.43
928,20200704T10:00:00Z,60-69,1706,13.09,41,14.49,2.4
929,20200704T10:00:00Z,50-59,2331,17.89,15,5.30,0.64
930,20200704T10:00:00Z,40-49,1699,13.04,3,1.06,0.18
931,20200704T10:00:00Z,30-39,1541,11.83,2,0.71,0.13
932,20200704T10:00:00Z,20-29,3396,26.06,0,0.00,0
933,20200704T10:00:00Z,10-19,724,5.56,0,0.00,0
934,20200704T10:00:00Z,0-9,199,1.53,0,0.00,0
935,20200705T10:00:00Z,남성,5657,43.21,151,53.36,2.67
936,20200705T10:00:00Z,여성,7434,56.79,132,46.64,1.78
937,20200705T10:00:00Z,80 이상,564,4.31,140,49.47,24.82
938,20200705T10:00:00Z,70-79,876,6.69,82,28.98,9.36
939,20200705T10:00:00Z,60-69,1720,13.14,41,14.49,2.38
940,20200705T10:00:00Z,50-59,2338,17.86,15,5.30,0.64
941,20200705T10:00:00Z,40-49,1710,13.06,3,1.06,0.18
942,20200705T10:00:00Z,30-39,1550,11.84,2,0.71,0.13
943,20200705T10:00:00Z,20-29,3404,26,0,0.00,0
944,20200705T10:00:00Z,10-19,727,5.55,0,0.00,0
945,20200705T10:00:00Z,0-9,202,1.54,0,0.00,0
946,20200706T10:00:00Z,남성,5682,43.25,151,53.17,2.66
947,20200706T10:00:00Z,여성,7455,56.75,133,46.83,1.78
948,20200706T10:00:00Z,80 이상,567,4.32,140,49.30,24.69
949,20200706T10:00:00Z,70-79,878,6.68,83,29.23,9.45
950,20200706T10:00:00Z,60-69,1724,13.12,41,14.44,2.38
951,20200706T10:00:00Z,50-59,2347,17.87,15,5.28,0.64
952,20200706T10:00:00Z,40-49,1716,13.06,3,1.06,0.17
953,20200706T10:00:00Z,30-39,1560,11.87,2,0.70,0.13
954,20200706T10:00:00Z,20-29,3411,25.96,0,0.00,0
955,20200706T10:00:00Z,10-19,728,5.54,0,0.00,0
956,20200706T10:00:00Z,0-9,206,1.57,0,0.00,0
957,20200707T10:00:00Z,남성,5703,43.27,152,53.33,2.67
958,20200707T10:00:00Z,여성,7478,56.73,133,46.67,1.78
959,20200707T10:00:00Z,80 이상,567,4.3,141,49.47,24.87
960,20200707T10:00:00Z,70-79,880,6.68,83,29.12,9.43
961,20200707T10:00:00Z,60-69,1731,13.13,41,14.39,2.37
962,20200707T10:00:00Z,50-59,2354,17.86,15,5.26,0.64
963,20200707T10:00:00Z,40-49,1723,13.07,3,1.05,0.17
964,20200707T10:00:00Z,30-39,1566,11.88,2,0.70,0.13
965,20200707T10:00:00Z,20-29,3423,25.97,0,0.00,0
966,20200707T10:00:00Z,10-19,730,5.54,0,0.00,0
967,20200707T10:00:00Z,0-9,207,1.57,0,0.00,0
968,20200708T10:00:00Z,남성,5738,43.33,152,53.33,2.65
969,20200708T10:00:00Z,여성,7506,56.67,133,46.67,1.77
970,20200708T10:00:00Z,80 이상,568,4.29,141,49.47,24.82
971,20200708T10:00:00Z,70-79,886,6.69,83,29.12,9.37
972,20200708T10:00:00Z,60-69,1736,13.11,41,14.39,2.36
973,20200708T10:00:00Z,50-59,2364,17.85,15,5.26,0.63
974,20200708T10:00:00Z,40-49,1738,13.12,3,1.05,0.17
975,20200708T10:00:00Z,30-39,1577,11.91,2,0.70,0.13
976,20200708T10:00:00Z,20-29,3434,25.93,0,0.00,0
977,20200708T10:00:00Z,10-19,733,5.53,0,0.00,0
978,20200708T10:00:00Z,0-9,208,1.57,0,0.00,0
979,20200709T10:00:00Z,남성,5766,43.38,153,53.31,2.65
980,20200709T10:00:00Z,여성,7527,56.62,134,46.69,1.78
981,20200709T10:00:00Z,80 이상,569,4.28,143,49.83,25.13
982,20200709T10:00:00Z,70-79,887,6.67,83,28.92,9.36
983,20200709T10:00:00Z,60-69,1739,13.08,41,14.29,2.36
984,20200709T10:00:00Z,50-59,2373,17.85,15,5.23,0.63
985,20200709T10:00:00Z,40-49,1749,13.16,3,1.05,0.17
986,20200709T10:00:00Z,30-39,1584,11.92,2,0.70,0.13
987,20200709T10:00:00Z,20-29,3445,25.92,0,0.00,0
988,20200709T10:00:00Z,10-19,737,5.54,0,0.00,0
989,20200709T10:00:00Z,0-9,210,1.58,0,0.00,0
990,20200710T10:00:00Z,남성,5802,43.5,153,53.13,2.64
991,20200710T10:00:00Z,여성,7536,56.5,135,46.88,1.79
992,20200710T10:00:00Z,80 이상,570,4.27,144,50.00,25.26
993,20200710T10:00:00Z,70-79,890,6.67,83,28.82,9.33
994,20200710T10:00:00Z,60-69,1742,13.06,41,14.24,2.35
995,20200710T10:00:00Z,50-59,2381,17.85,15,5.21,0.63
996,20200710T10:00:00Z,40-49,1754,13.15,3,1.04,0.17
997,20200710T10:00:00Z,30-39,1593,11.94,2,0.69,0.13
998,20200710T10:00:00Z,20-29,3455,25.9,0,0.00,0
999,20200710T10:00:00Z,10-19,740,5.55,0,0.00,0
1000,20200710T10:00:00Z,0-9,213,1.6,0,0.00,0
1001,20200711T10:00:00Z,남성,5824,43.55,153,53.13,2.63
1002,20200711T10:00:00Z,여성,7549,56.45,135,46.88,1.79
1003,20200711T10:00:00Z,80 이상,574,4.29,144,50.00,25.09
1004,20200711T10:00:00Z,70-79,894,6.69,83,28.82,9.28
1005,20200711T10:00:00Z,60-69,1744,13.04,41,14.24,2.35
1006,20200711T10:00:00Z,50-59,2389,17.86,15,5.21,0.63
1007,20200711T10:00:00Z,40-49,1756,13.13,3,1.04,0.17
1008,20200711T10:00:00Z,30-39,1599,11.96,2,0.69,0.13
1009,20200711T10:00:00Z,20-29,3463,25.9,0,0.00,0
1010,20200711T10:00:00Z,10-19,740,5.53,0,0.00,0
1011,20200711T10:00:00Z,0-9,214,1.6,0,0.00,0
1012,20200712T10:00:00Z,남성,5856,43.65,153,52.94,2.61
1013,20200712T10:00:00Z,여성,7561,56.35,136,47.06,1.8
1014,20200712T10:00:00Z,80 이상,575,4.29,144,49.83,25.04
1015,20200712T10:00:00Z,70-79,895,6.67,84,29.07,9.39
1016,20200712T10:00:00Z,60-69,1753,13.07,41,14.19,2.34
1017,20200712T10:00:00Z,50-59,2392,17.83,15,5.19,0.63
1018,20200712T10:00:00Z,40-49,1761,13.13,3,1.04,0.17
1019,20200712T10:00:00Z,30-39,1612,12.01,2,0.69,0.12
1020,20200712T10:00:00Z,20-29,3467,25.84,0,0.00,0
1021,20200712T10:00:00Z,10-19,746,5.56,0,0.00,0
1022,20200712T10:00:00Z,0-9,216,1.61,0,0.00,0
1023,20200713T10:00:00Z,남성,5895,43.73,153,52.94,2.6
1024,20200713T10:00:00Z,여성,7584,56.27,136,47.06,1.79
1025,20200713T10:00:00Z,80 이상,576,4.27,144,49.83,25
1026,20200713T10:00:00Z,70-79,898,6.66,84,29.07,9.35
1027,20200713T10:00:00Z,60-69,1758,13.04,41,14.19,2.33
1028,20200713T10:00:00Z,50-59,2396,17.78,15,5.19,0.63
1029,20200713T10:00:00Z,40-49,1770,13.13,3,1.04,0.17
1030,20200713T10:00:00Z,30-39,1627,12.07,2,0.69,0.12
1031,20200713T10:00:00Z,20-29,3485,25.86,0,0.00,0
1032,20200713T10:00:00Z,10-19,750,5.56,0,0.00,0
1033,20200713T10:00:00Z,0-9,219,1.62,0,0.00,0
1034,20200714T10:00:00Z,남성,5911,43.75,153,52.94,2.59
1035,20200714T10:00:00Z,여성,7601,56.25,136,47.06,1.79
1036,20200714T10:00:00Z,80 이상,577,4.27,144,49.83,24.96
1037,20200714T10:00:00Z,70-79,902,6.68,84,29.07,9.31
1038,20200714T10:00:00Z,60-69,1762,13.04,41,14.19,2.33
1039,20200714T10:00:00Z,50-59,2402,17.78,15,5.19,0.62
1040,20200714T10:00:00Z,40-49,1773,13.12,3,1.04,0.17
1041,20200714T10:00:00Z,30-39,1632,12.08,2,0.69,0.12
1042,20200714T10:00:00Z,20-29,3491,25.84,0,0.00,0
1043,20200714T10:00:00Z,10-19,752,5.57,0,0.00,0
1044,20200714T10:00:00Z,0-9,221,1.64,0,0.00,0
1045,20200715T10:00:00Z,남성,5944,43.86,153,52.94,2.57
1046,20200715T10:00:00Z,여성,7607,56.14,136,47.06,1.79
1047,20200715T10:00:00Z,80 이상,577,4.26,144,49.83,24.96
1048,20200715T10:00:00Z,70-79,902,6.66,84,29.07,9.31
1049,20200715T10:00:00Z,60-69,1769,13.05,41,14.19,2.32
1050,20200715T10:00:00Z,50-59,2411,17.79,15,5.19,0.62
1051,20200715T10:00:00Z,40-49,1782,13.15,3,1.04,0.17
1052,20200715T10:00:00Z,30-39,1640,12.1,2,0.69,0.12
1053,20200715T10:00:00Z,20-29,3495,25.79,0,0.00,0
1054,20200715T10:00:00Z,10-19,753,5.56,0,0.00,0
1055,20200715T10:00:00Z,0-9,222,1.64,0,0.00,0
1056,20200716T10:00:00Z,남성,5911,43.75,154,52.92,2.61
1057,20200716T10:00:00Z,여성,7601,56.25,137,47.08,1.8
1058,20200716T10:00:00Z,80 이상,577,4.27,144,49.48,24.96
1059,20200716T10:00:00Z,70-79,902,6.68,86,29.55,9.53
1060,20200716T10:00:00Z,60-69,1762,13.04,41,14.09,2.33
1061,20200716T10:00:00Z,50-59,2402,17.78,15,5.15,0.62
1062,20200716T10:00:00Z,40-49,1773,13.12,3,1.03,0.17
1063,20200716T10:00:00Z,30-39,1632,12.08,2,0.69,0.12
1064,20200716T10:00:00Z,20-29,3491,25.84,0,0.00,0
1065,20200716T10:00:00Z,10-19,752,5.57,0,0.00,0
1066,20200716T10:00:00Z,0-9,221,1.64,0,0.00,0
1067,20200717T10:00:00Z,남성,6026,44.08,154,52.56,2.56
1068,20200717T10:00:00Z,여성,7646,55.92,139,47.44,1.82
1069,20200717T10:00:00Z,80 이상,580,4.24,146,49.83,25.17
1070,20200717T10:00:00Z,70-79,908,6.64,86,29.35,9.47
1071,20200717T10:00:00Z,60-69,1781,13.03,41,13.99,2.3
1072,20200717T10:00:00Z,50-59,2425,17.74,15,5.12,0.62
1073,20200717T10:00:00Z,40-49,1805,13.2,3,1.02,0.17
1074,20200717T10:00:00Z,30-39,1669,12.21,2,0.68,0.12
1075,20200717T10:00:00Z,20-29,3517,25.72,0,0.00,0
1076,20200717T10:00:00Z,10-19,756,5.53,0,0.00,0
1077,20200717T10:00:00Z,0-9,231,1.69,0,0.00,0
1078,20200718T10:00:00Z,남성,6049,44.12,155,52.72,2.56
1079,20200718T10:00:00Z,여성,7662,55.88,139,47.28,1.81
1080,20200718T10:00:00Z,80 이상,580,4.23,146,49.66,25.17
1081,20200718T10:00:00Z,70-79,909,6.63,86,29.25,9.46
1082,20200718T10:00:00Z,60-69,1781,12.99,41,13.95,2.3
1083,20200718T10:00:00Z,50-59,2432,17.74,16,5.44,0.66
1084,20200718T10:00:00Z,40-49,1814,13.23,3,1.02,0.17
1085,20200718T10:00:00Z,30-39,1674,12.21,2,0.68,0.12
1086,20200718T10:00:00Z,20-29,3527,25.72,0,0.00,0
1087,20200718T10:00:00Z,10-19,760,5.54,0,0.00,0
1088,20200718T10:00:00Z,0-9,234,1.71,0,0.00,0
1089,20200719T10:00:00Z,남성,6070,44.16,155,52.54,2.55
1090,20200719T10:00:00Z,여성,7675,55.84,140,47.46,1.82
1091,20200719T10:00:00Z,80 이상,581,4.23,147,49.83,25.3
1092,20200719T10:00:00Z,70-79,911,6.63,86,29.15,9.44
1093,20200719T10:00:00Z,60-69,1787,13,41,13.90,2.29
1094,20200719T10:00:00Z,50-59,2435,17.72,16,5.42,0.66
1095,20200719T10:00:00Z,40-49,1817,13.22,3,1.02,0.17
1096,20200719T10:00:00Z,30-39,1684,12.25,2,0.68,0.12
1097,20200719T10:00:00Z,20-29,3531,25.69,0,0.00,0
1098,20200719T10:00:00Z,10-19,762,5.54,0,0.00,0
1099,20200719T10:00:00Z,0-9,237,1.72,0,0.00,0
1100,20200720T10:00:00Z,남성,6089,44.22,156,52.70,2.56
1101,20200720T10:00:00Z,여성,7682,55.78,140,47.30,1.82
1102,20200720T10:00:00Z,80 이상,582,4.23,147,49.66,25.26
1103,20200720T10:00:00Z,70-79,911,6.62,87,29.39,9.55
1104,20200720T10:00:00Z,60-69,1788,12.98,41,13.85,2.29
1105,20200720T10:00:00Z,50-59,2439,17.71,16,5.41,0.66
1106,20200720T10:00:00Z,40-49,1821,13.22,3,1.01,0.16
1107,20200720T10:00:00Z,30-39,1688,12.26,2,0.68,0.12
1108,20200720T10:00:00Z,20-29,3539,25.7,0,0.00,0
1109,20200720T10:00:00Z,10-19,764,5.55,0,0.00,0
1110,20200720T10:00:00Z,0-9,239,1.74,0,0.00,0
1111,20200721T10:00:00Z,남성,6114,44.25,156,52.70,2.55
1112,20200721T10:00:00Z,여성,7702,55.75,140,47.30,1.82
1113,20200721T10:00:00Z,80 이상,586,4.24,147,49.66,25.09
1114,20200721T10:00:00Z,70-79,919,6.65,87,29.39,9.47
1115,20200721T10:00:00Z,60-69,1791,12.96,41,13.85,2.29
1116,20200721T10:00:00Z,50-59,2444,17.69,16,5.41,0.65
1117,20200721T10:00:00Z,40-49,1824,13.2,3,1.01,0.16
1118,20200721T10:00:00Z,30-39,1696,12.28,2,0.68,0.12
1119,20200721T10:00:00Z,20-29,3551,25.7,0,0.00,0
1120,20200721T10:00:00Z,10-19,765,5.54,0,0.00,0
1121,20200721T10:00:00Z,0-9,240,1.74,0,0.00,0
1122,20200722T10:00:00Z,남성,6153,44.33,157,52.86,2.55
1123,20200722T10:00:00Z,여성,7726,55.67,140,47.14,1.81
1124,20200722T10:00:00Z,80 이상,590,4.25,148,49.83,25.08
1125,20200722T10:00:00Z,70-79,925,6.66,87,29.29,9.41
1126,20200722T10:00:00Z,60-69,1802,12.98,41,13.80,2.28
1127,20200722T10:00:00Z,50-59,2453,17.67,16,5.39,0.65
1128,20200722T10:00:00Z,40-49,1834,13.21,3,1.01,0.16
1129,20200722T10:00:00Z,30-39,1704,12.28,2,0.67,0.12
1130,20200722T10:00:00Z,20-29,3559,25.64,0,0.00,0
1131,20200722T10:00:00Z,10-19,772,5.56,0,0.00,0
1132,20200722T10:00:00Z,0-9,240,1.73,0,0.00,0
1133,20200723T10:00:00Z,남성,6192,44.43,157,52.86,2.54
1134,20200723T10:00:00Z,여성,7746,55.57,140,47.14,1.81
1135,20200723T10:00:00Z,80 이상,590,4.23,148,49.83,25.08
1136,20200723T10:00:00Z,70-79,929,6.67,87,29.29,9.36
1137,20200723T10:00:00Z,60-69,1811,12.99,41,13.80,2.26
1138,20200723T10:00:00Z,50-59,2465,17.69,16,5.39,0.65
1139,20200723T10:00:00Z,40-49,1842,13.22,3,1.01,0.16
1140,20200723T10:00:00Z,30-39,1707,12.25,2,0.67,0.12
1141,20200723T10:00:00Z,20-29,3578,25.67,0,0.00,0
1142,20200723T10:00:00Z,10-19,776,5.57,0,0.00,0
1143,20200723T10:00:00Z,0-9,240,1.72,0,0.00,0
1144,20200724T11:00:00Z,남성,6215,44.46,158,53.02,2.54
1145,20200724T11:00:00Z,여성,7764,55.54,140,46.98,1.8
1146,20200724T11:00:00Z,80 이상,592,4.23,148,49.66,25
1147,20200724T11:00:00Z,70-79,933,6.67,88,29.53,9.43
1148,20200724T11:00:00Z,60-69,1822,13.03,41,13.76,2.25
1149,20200724T11:00:00Z,50-59,2473,17.69,16,5.37,0.65
1150,20200724T11:00:00Z,40-49,1848,13.22,3,1.01,0.16
1151,20200724T11:00:00Z,30-39,1712,12.25,2,0.67,0.12
1152,20200724T11:00:00Z,20-29,3581,25.62,0,0.00,0
1153,20200724T11:00:00Z,10-19,777,5.56,0,0.00,0
1154,20200724T11:00:00Z,0-9,241,1.72,0,0.00,0
1155,20200725T10:00:00Z,남성,6311,44.78,158,53.02,2.5
1156,20200725T10:00:00Z,여성,7781,55.22,140,46.98,1.8
1157,20200725T10:00:00Z,80 이상,594,4.22,148,49.66,24.92
1158,20200725T10:00:00Z,70-79,935,6.63,88,29.53,9.41
1159,20200725T10:00:00Z,60-69,1830,12.99,41,13.76,2.24
1160,20200725T10:00:00Z,50-59,2487,17.65,16,5.37,0.64
1161,20200725T10:00:00Z,40-49,1882,13.36,3,1.01,0.16
1162,20200725T10:00:00Z,30-39,1750,12.42,2,0.67,0.11
1163,20200725T10:00:00Z,20-29,3594,25.5,0,0.00,0
1164,20200725T10:00:00Z,10-19,778,5.52,0,0.00,0
1165,20200725T10:00:00Z,0-9,242,1.72,0,0.00,0
1166,20200726T10:00:00Z,남성,6360,44.95,158,53.02,2.48
1167,20200726T10:00:00Z,여성,7790,55.05,140,46.98,1.8
1168,20200726T10:00:00Z,80 이상,596,4.21,148,49.66,24.83
1169,20200726T10:00:00Z,70-79,936,6.61,88,29.53,9.4
1170,20200726T10:00:00Z,60-69,1835,12.97,41,13.76,2.23
1171,20200726T10:00:00Z,50-59,2505,17.7,16,5.37,0.64
1172,20200726T10:00:00Z,40-49,1897,13.41,3,1.01,0.16
1173,20200726T10:00:00Z,30-39,1763,12.46,2,0.67,0.11
1174,20200726T10:00:00Z,20-29,3598,25.43,0,0.00,0
1175,20200726T10:00:00Z,10-19,778,5.5,0,0.00,0
1176,20200726T10:00:00Z,0-9,242,1.71,0,0.00,0
1177,20200727T10:00:00Z,남성,6372,44.95,158,52.84,2.48
1178,20200727T10:00:00Z,여성,7803,55.05,141,47.16,1.81
1179,20200727T10:00:00Z,80 이상,597,4.21,148,49.50,24.79
1180,20200727T10:00:00Z,70-79,940,6.63,89,29.77,9.47
1181,20200727T10:00:00Z,60-69,1837,12.96,41,13.71,2.23
1182,20200727T10:00:00Z,50-59,2506,17.68,16,5.35,0.64
1183,20200727T10:00:00Z,40-49,1900,13.4,3,1.00,0.16
1184,20200727T10:00:00Z,30-39,1770,12.49,2,0.67,0.11
1185,20200727T10:00:00Z,20-29,3603,25.42,0,0.00,0
1186,20200727T10:00:00Z,10-19,779,5.5,0,0.00,0
1187,20200727T10:00:00Z,0-9,243,1.71,0,0.00,0
1188,20200728T10:00:00Z,남성,6394,45.02,159,53.00,2.49
1189,20200728T10:00:00Z,여성,7809,54.98,141,47.00,1.81
1190,20200728T10:00:00Z,80 이상,597,4.2,148,49.33,24.79
1191,20200728T10:00:00Z,70-79,941,6.63,90,30.00,9.56
1192,20200728T10:00:00Z,60-69,1840,12.96,41,13.67,2.23
1193,20200728T10:00:00Z,50-59,2511,17.68,16,5.33,0.64
1194,20200728T10:00:00Z,40-49,1907,13.43,3,1.00,0.16
1195,20200728T10:00:00Z,30-39,1774,12.49,2,0.67,0.11
1196,20200728T10:00:00Z,20-29,3607,25.4,0,0.00,0
1197,20200728T10:00:00Z,10-19,781,5.5,0,0.00,0
1198,20200728T10:00:00Z,0-9,245,1.72,0,0.00,0
1199,20200729T10:00:00Z,남성,6426,45.09,159,53.00,2.47
1200,20200729T10:00:00Z,여성,7825,54.91,141,47.00,1.8
1201,20200729T10:00:00Z,80 이상,597,4.19,148,49.33,24.79
1202,20200729T10:00:00Z,70-79,946,6.64,90,30.00,9.51
1203,20200729T10:00:00Z,60-69,1844,12.94,41,13.67,2.22
1204,20200729T10:00:00Z,50-59,2516,17.65,16,5.33,0.64
1205,20200729T10:00:00Z,40-49,1918,13.46,3,1.00,0.16
1206,20200729T10:00:00Z,30-39,1790,12.56,2,0.67,0.11
1207,20200729T10:00:00Z,20-29,3613,25.35,0,0.00,0
1208,20200729T10:00:00Z,10-19,782,5.49,0,0.00,0
1209,20200729T10:00:00Z,0-9,245,1.72,0,0.00,0
1210,20200730T11:00:00Z,남성,6439,45.13,159,53.00,2.47
1211,20200730T11:00:00Z,여성,7830,54.87,141,47.00,1.8
1212,20200730T11:00:00Z,80 이상,597,4.18,148,49.33,24.79
1213,20200730T11:00:00Z,70-79,946,6.63,90,30.00,9.51
1214,20200730T11:00:00Z,60-69,1850,12.97,41,13.67,2.22
1215,20200730T11:00:00Z,50-59,2516,17.63,16,5.33,0.64
1216,20200730T11:00:00Z,40-49,1922,13.47,3,1.00,0.16
1217,20200730T11:00:00Z,30-39,1796,12.59,2,0.67,0.11
1218,20200730T11:00:00Z,20-29,3615,25.33,0,0.00,0
1219,20200730T11:00:00Z,10-19,782,5.48,0,0.00,0
1220,20200730T11:00:00Z,0-9,245,1.72,0,0.00,0
1221,20200731T10:00:00Z,남성,6463,45.18,160,53.16,2.48
1222,20200731T10:00:00Z,여성,7842,54.82,141,46.84,1.8
1223,20200731T10:00:00Z,80 이상,598,4.18,149,49.50,24.92
1224,20200731T10:00:00Z,70-79,947,6.62,90,29.90,9.5
1225,20200731T10:00:00Z,60-69,1853,12.95,41,13.62,2.21
1226,20200731T10:00:00Z,50-59,2520,17.62,16,5.32,0.63
1227,20200731T10:00:00Z,40-49,1930,13.49,3,1.00,0.16
1228,20200731T10:00:00Z,30-39,1809,12.65,2,0.66,0.11
1229,20200731T10:00:00Z,20-29,3620,25.31,0,0.00,0
1230,20200731T10:00:00Z,10-19,782,5.47,0,0.00,0
1231,20200731T10:00:00Z,0-9,246,1.72,0,0.00,0
1232,20200801T10:00:00Z,남성,6486,45.24,160,53.16,2.47
1233,20200801T10:00:00Z,여성,7850,54.76,141,46.84,1.8
1234,20200801T10:00:00Z,80 이상,598,4.17,149,49.50,24.92
1235,20200801T10:00:00Z,70-79,948,6.61,90,29.90,9.49
1236,20200801T10:00:00Z,60-69,1858,12.96,41,13.62,2.21
1237,20200801T10:00:00Z,50-59,2528,17.63,16,5.32,0.63
1238,20200801T10:00:00Z,40-49,1936,13.5,3,1.00,0.15
1239,20200801T10:00:00Z,30-39,1819,12.69,2,0.66,0.11
1240,20200801T10:00:00Z,20-29,3620,25.25,0,0.00,0
1241,20200801T10:00:00Z,10-19,782,5.45,0,0.00,0
1242,20200801T10:00:00Z,0-9,247,1.72,0,0.00,0
1243,20200802T12:00:00Z,남성,6507,45.29,106,53.00,1.63
1244,20200802T12:00:00Z,여성,7859,54.71,94,47.00,1.2
1245,20200802T12:00:00Z,80 이상,599,4.17,96,48.00,16.03
1246,20200802T12:00:00Z,70-79,949,6.61,60,30.00,6.32
1247,20200802T12:00:00Z,60-69,1860,12.95,27,13.50,1.45
1248,20200802T12:00:00Z,50-59,2532,17.62,13,6.50,0.51
1249,20200802T12:00:00Z,40-49,1944,13.53,3,1.50,0.15
1250,20200802T12:00:00Z,30-39,1826,12.71,1,0.50,0.05
1251,20200802T12:00:00Z,20-29,3625,25.23,0,0.00,0
1252,20200802T12:00:00Z,10-19,782,5.44,0,0.00,0
1253,20200802T12:00:00Z,0-9,249,1.73,0,0.00,0
1254,20200803T11:00:00Z,남성,6522,45.33,160,53.16,2.45
1255,20200803T11:00:00Z,여성,7867,54.67,141,46.84,1.79
1256,20200803T11:00:00Z,80 이상,599,4.16,149,49.50,24.87
1257,20200803T11:00:00Z,70-79,950,6.6,90,29.90,9.47
1258,20200803T11:00:00Z,60-69,1864,12.95,41,13.62,2.2
1259,20200803T11:00:00Z,50-59,2536,17.62,16,5.32,0.63
1260,20200803T11:00:00Z,40-49,1946,13.52,3,1.00,0.15
1261,20200803T11:00:00Z,30-39,1829,12.71,2,0.66,0.11
1262,20200803T11:00:00Z,20-29,3629,25.22,0,0.00,0
1263,20200803T11:00:00Z,10-19,785,5.46,0,0.00,0
1264,20200803T11:00:00Z,0-9,251,1.74,0,0.00,0
1265,20200804T10:00:00Z,남성,6545,45.38,160,53.16,2.44
1266,20200804T10:00:00Z,여성,7878,54.62,141,46.84,1.79
1267,20200804T10:00:00Z,80 이상,601,4.17,149,49.50,24.79
1268,20200804T10:00:00Z,70-79,950,6.59,90,29.90,9.47
1269,20200804T10:00:00Z,60-69,1866,12.94,41,13.62,2.2
1270,20200804T10:00:00Z,50-59,2540,17.61,16,5.32,0.63
1271,20200804T10:00:00Z,40-49,1952,13.53,3,1.00,0.15
1272,20200804T10:00:00Z,30-39,1834,12.72,2,0.66,0.11
1273,20200804T10:00:00Z,20-29,3635,25.2,0,0.00,0
1274,20200804T10:00:00Z,10-19,790,5.48,0,0.00,0
1275,20200804T10:00:00Z,0-9,255,1.77,0,0.00,0
1276,20200805T10:00:00Z,남성,6568,45.43,160,52.98,2.44
1277,20200805T10:00:00Z,여성,7888,54.57,142,47.02,1.8
1278,20200805T10:00:00Z,80 이상,601,4.16,150,49.67,24.96
1279,20200805T10:00:00Z,70-79,951,6.58,90,29.80,9.46
1280,20200805T10:00:00Z,60-69,1871,12.94,41,13.58,2.19
1281,20200805T10:00:00Z,50-59,2546,17.61,16,5.30,0.63
1282,20200805T10:00:00Z,40-49,1956,13.53,3,0.99,0.15
1283,20200805T10:00:00Z,30-39,1841,12.74,2,0.66,0.11
1284,20200805T10:00:00Z,20-29,3641,25.19,0,0.00,0
1285,20200805T10:00:00Z,10-19,793,5.49,0,0.00,0
1286,20200805T10:00:00Z,0-9,256,1.77,0,0.00,0
1287,20200806T10:00:00Z,남성,6602,45.53,160,52.98,2.42
1288,20200806T10:00:00Z,여성,7897,54.47,142,47.02,1.8
1289,20200806T10:00:00Z,80 이상,601,4.15,150,49.67,24.96
1290,20200806T10:00:00Z,70-79,954,6.58,90,29.80,9.43
1291,20200806T10:00:00Z,60-69,1880,12.97,41,13.58,2.18
1292,20200806T10:00:00Z,50-59,2554,17.62,16,5.30,0.63
1293,20200806T10:00:00Z,40-49,1959,13.51,3,0.99,0.15
1294,20200806T10:00:00Z,30-39,1844,12.72,2,0.66,0.11
1295,20200806T10:00:00Z,20-29,3654,25.2,0,0.00,0
1296,20200806T10:00:00Z,10-19,797,5.5,0,0.00,0
1297,20200806T10:00:00Z,0-9,256,1.77,0,0.00,0
1298,20200807T10:00:00Z,남성,6615,45.56,160,52.81,2.42
1299,20200807T10:00:00Z,여성,7904,54.44,143,47.19,1.81
1300,20200807T10:00:00Z,80 이상,601,4.14,151,49.83,25.12
1301,20200807T10:00:00Z,70-79,954,6.57,90,29.70,9.43
1302,20200807T10:00:00Z,60-69,1885,12.98,41,13.53,2.18
1303,20200807T10:00:00Z,50-59,2556,17.6,16,5.28,0.63
1304,20200807T10:00:00Z,40-49,1964,13.53,3,0.99,0.15
