time,Confirmed,Deaths,Recovered,Tested,Testing,Negative
356,20210123T00:00:00Z,74692,1337,62044,5329707,136629,5118386
357,20210124T00:00:00Z,75084,1349,62530,5354349,135765,5143500
358,20210125T00:00:00Z,75521,1360,62956,5376086,134549,5166016
359,20210126T00:00:00Z,75870,1371,64793,5422768,138624,5208274
360,20210127T00:00:00Z,76429,1378,65478,5469247,138427,5254391
361,20210128T00:00:00Z,76926,1386,66016,5522189,139424,5305839
362,20210129T00:00:00Z,77395,1399,66503,5569264,142753,5349116
363,20210130T00:00:00Z,77848,1414,67121,5616528,145795,5392885
364,20210131T00:00:00Z,78203,1420,67878,5640818,149550,5413065
365,20210201T00:00:00Z,78508,1425,68309,5661842,149456,5433878
366,20210202T00:00:00Z,78843,1435,68775,5711412,154265,5478304
367,20210203T00:00:00Z,79310,1441,69299,5756713,138849,5538554
368,20210204T00:00:00Z,79761,1448,69704,5803094,120538,5602795
369,20210205T00:00:00Z,80131,1459,70117,5847178,107457,5659590
370,20210206T00:00:00Z,80524,1464,70505,5893353,97677,5715152
371,20210207T00:00:00Z,80895,1471,70865,5916974,90751,5745328
372,20210208T00:00:00Z,81183,1474,71218,5938195,84843,5772169
373,20210209T00:00:00Z,81486,1482,71676,5987405,82630,5823289
374,20210210T00:00:00Z,81930,1486,72226,6030023,80076,5868017
375,20210211T00:00:00Z,82434,1496,72638,6070008,81614,5905960
376,20210212T00:00:00Z,82837,1507,72936,6093369,80861,5929671
377,20210213T00:00:00Z,83199,1514,73227,6115337,70251,5961887
378,20210214T00:00:00Z,83525,1522,73559,6140086,78200,5978361
379,20210215T00:00:00Z,83868,1527,73794,6162859,80146,5998845
380,20210216T00:00:00Z,84325,1534,74551,6213490,76897,6052268
381,20210217T00:00:00Z,84946,1538,75360,6260567,72410,6103211
382,20210218T00:00:00Z,85567,1544,75896,6303214,70720,6146927
383,20210219T00:00:00Z,86128,1550,76513,6345992,71116,6188748
384,20210220T00:00:00Z,86576,1553,77083,6390631,76137,6227918
385,20210221T00:00:00Z,86992,1557,77516,6411340,73356,6250992
386,20210222T00:00:00Z,87324,1562,77887,6429144,72461,6269359
387,20210223T00:00:00Z,87680,1573,78394,6472678,74065,6310933
388,20210224T00:00:00Z,88120,1576,79050,6510988,74988,6347880
